t x v EK
3.37000 5.31800 -1.80000 1.62000
3.38000 5.30000 -1.80000 1.62000
3.39000 5.28200 -1.80000 1.62000
3.40000 5.26400 -1.80000 1.62000
3.41000 5.24600 -1.80000 1.62000
3.42000 5.22800 -1.80000 1.62000
3.43000 5.21000 -1.80000 1.62000
3.44000 5.19200 -1.80000 1.62000
3.45000 5.17400 -1.80000 1.62000
3.46000 5.15600 -1.80000 1.62000
3.47000 5.13800 -1.80000 1.62000
3.48000 5.12000 -1.80000 1.62000
3.49000 5.10200 -1.80000 1.62000
3.50000 5.08400 -1.80000 1.62000
3.51000 5.06600 -1.80000 1.62000
3.52000 5.04800 -1.80000 1.62000
3.53000 5.03000 -1.80000 1.62000
3.54000 5.01200 -1.80000 1.62000
3.55000 4.99400 -1.80000 1.62000
3.56000 4.97600 -1.80000 1.62000
3.57000 4.95800 -1.80000 1.62000
3.58000 4.94000 -1.80000 1.62000
3.59000 4.92200 -1.80000 1.62000
3.60000 4.90400 -1.80000 1.62000
3.61000 4.88600 -1.80000 1.62000
3.62000 4.86800 -1.80000 1.62000
3.63000 4.85000 -1.80000 1.62000
3.64000 4.83200 -1.80000 1.62000
3.65000 4.81400 -1.80000 1.62000
3.66000 4.79600 -1.80000 1.62000
3.67000 4.77800 -1.80000 1.62000
3.68000 4.76000 -1.80000 1.62000
3.69000 4.74200 -1.80000 1.62000
3.70000 4.72400 -1.80000 1.62000
3.71000 4.70600 -1.80000 1.62000
3.72000 4.68800 -1.80000 1.62000
3.73000 4.67000 -1.80000 1.62000
3.74000 4.65200 -1.80000 1.62000
3.75000 4.63400 -1.80000 1.62000
3.76000 4.61600 -1.80000 1.62000
3.77000 4.59800 -1.80000 1.62000
3.78000 4.58000 -1.80000 1.62000
3.79000 4.56200 -1.80000 1.62000
3.80000 4.54400 -1.80000 1.62000
3.81000 4.52600 -1.80000 1.62000
3.82000 4.50800 -1.80000 1.62000
3.83000 4.49000 -1.80000 1.62000
3.84000 4.47200 -1.80000 1.62000
3.85000 4.45400 -1.80000 1.62000
3.86000 4.43600 -1.80000 1.62000
3.87000 4.41800 -1.80000 1.62000
3.88000 4.40000 -1.80000 1.62000
3.89000 4.38200 -1.80000 1.62000
3.90000 4.36400 -1.80000 1.62000
3.91000 4.34600 -1.80000 1.62000
3.92000 4.32800 -1.80000 1.62000
3.93000 4.31000 -1.80000 1.62000
3.94000 4.29200 -1.80000 1.62000
3.95000 4.27400 -1.80000 1.62000
3.96000 4.25600 -1.80000 1.62000
3.97000 4.23800 -1.80000 1.62000
3.98000 4.22000 -1.80000 1.62000
3.99000 4.20200 -1.80000 1.62000
4.00000 4.18400 -1.80000 1.62000
4.01000 4.16600 -1.80000 1.62000
4.02000 4.14800 -1.80000 1.62000
4.03000 4.13000 -1.80000 1.62000
4.04000 4.11200 -1.80000 1.62000
4.05000 4.09400 -1.80000 1.62000
4.06000 4.07600 -1.80000 1.62000
4.07000 4.05800 -1.80000 1.62000
4.08000 4.04000 -1.80000 1.62000
4.09000 4.02200 -1.80000 1.62000
4.10000 4.00400 -1.80000 1.62000
4.11000 3.98600 -1.80000 1.62000
4.12000 3.96800 -1.80000 1.62000
4.13000 3.95000 -1.80000 1.62000
4.14000 3.93200 -1.80000 1.62000
4.15000 3.91400 -1.80000 1.62000
4.16000 3.89600 -1.80000 1.62000
4.17000 3.87800 -1.80000 1.62000
4.18000 3.86000 -1.80000 1.62000
4.19000 3.84200 -1.80000 1.62000
4.20000 3.82400 -1.80000 1.62000
4.21000 3.80600 -1.80000 1.62000
4.22000 3.78800 -1.80000 1.62000
4.23000 3.77000 -1.80000 1.62000
4.24000 3.75200 -1.80000 1.62000
4.25000 3.73400 -1.80000 1.62000
4.26000 3.71600 -1.80000 1.62000
4.27000 3.69800 -1.80000 1.62000
4.28000 3.68000 -1.80000 1.62000
4.29000 3.66200 -1.80000 1.62000
4.30000 3.64400 -1.80000 1.62000
4.31000 3.62600 -1.80000 1.62000
4.32000 3.60800 -1.80000 1.62000
4.33000 3.59000 -1.80000 1.62000
4.34000 3.57200 -1.80000 1.62000
4.35000 3.55400 -1.80000 1.62000
4.36000 3.53600 -1.80000 1.62000
4.37000 3.51800 -1.80000 1.62000
4.38000 3.50000 -1.80000 1.62000
4.39000 3.48200 -1.80000 1.62000
4.40000 3.46400 -1.80000 1.62000
4.41000 3.44600 -1.80000 1.62000
4.42000 3.42800 -1.80000 1.62000
4.43000 3.41000 -1.80000 1.62000
4.44000 3.39200 -1.80000 1.62000
4.45000 3.37400 -1.80000 1.62000
4.46000 3.35600 -1.80000 1.62000
4.47000 3.33800 -1.80000 1.62000
4.48000 3.32000 -1.80000 1.62000
4.49000 3.30200 -1.80000 1.62000
4.50000 3.28400 -1.80000 1.62000
4.51000 3.26600 -1.80000 1.62000
4.52000 3.24800 -1.80000 1.62000
4.53000 3.23000 -1.80000 1.62000
4.54000 3.21200 -1.80000 1.62000
4.55000 3.19400 -1.80000 1.62000
4.56000 3.17600 -1.80000 1.62000
4.57000 3.15800 -1.80000 1.62000
4.58000 3.14000 -1.80000 1.62000
4.59000 3.12200 -1.80000 1.62000
4.60000 3.10400 -1.80000 1.62000
4.61000 3.08600 -1.80000 1.62000
4.62000 3.06800 -1.80000 1.62000
4.63000 3.05000 -1.80000 1.62000
4.64000 3.03200 -1.80000 1.62000
4.65000 3.01400 -1.80000 1.62000
4.66000 2.99600 -1.80000 1.62000
4.67000 2.97800 -1.80000 1.62000
4.68000 2.96000 -1.80000 1.62000
4.69000 2.94200 -1.80000 1.62000
4.70000 2.92400 -1.80000 1.62000
4.71000 2.90600 -1.80000 1.62000
4.72000 2.88800 -1.80000 1.62000
4.73000 2.87000 -1.80000 1.62000
4.74000 2.85200 -1.80000 1.62000
4.75000 2.83400 -1.80000 1.62000
4.76000 2.81600 -1.80000 1.62000
4.77000 2.79800 -1.80000 1.62000
4.78000 2.78000 -1.80000 1.62000
4.79000 2.76200 -1.80000 1.62000
4.80000 2.74400 -1.80000 1.62000
4.81000 2.72600 -1.80000 1.62000
4.82000 2.70800 -1.80000 1.62000
4.83000 2.69000 -1.80000 1.62000
4.84000 2.67200 -1.80000 1.62000
4.85000 2.65400 -1.80000 1.62000
4.86000 2.63600 -1.80000 1.62000
4.87000 2.61800 -1.80000 1.62000
4.88000 2.60000 -1.80000 1.62000
4.89000 2.58200 -1.80000 1.62000
4.90000 2.56400 -1.80000 1.62000
4.91000 2.54600 -1.80000 1.62000
4.92000 2.52800 -1.80000 1.62000
4.93000 2.51000 -1.80000 1.62000
4.94000 2.49200 -1.80000 1.62000
4.95000 2.47400 -1.80000 1.62000
4.96000 2.45600 -1.80000 1.62000
4.97000 2.43800 -1.80000 1.62000
4.98000 2.42000 -1.80000 1.62000
4.99000 2.40200 -1.80000 1.62000
5.00000 2.38400 -1.80000 1.62000
5.01000 2.36600 -1.80000 1.62000
5.02000 2.34800 -1.80000 1.62000
5.03000 2.33000 -1.80000 1.62000
5.04000 2.31200 -1.80000 1.62000
5.05000 2.29400 -1.80000 1.62000
5.06000 2.27600 -1.80000 1.62000
5.07000 2.25800 -1.80000 1.62000
5.08000 2.24000 -1.80000 1.62000
5.09000 2.22200 -1.80000 1.62000
5.10000 2.20400 -1.80000 1.62000
5.11000 2.18600 -1.80000 1.62000
5.12000 2.16800 -1.80000 1.62000
5.13000 2.15000 -1.80000 1.62000
5.14000 2.13200 -1.80000 1.62000
5.15000 2.11400 -1.80000 1.62000
5.16000 2.09600 -1.80000 1.62000
5.17000 2.07800 -1.80000 1.62000
5.18000 2.06000 -1.80000 1.62000
5.19000 2.04200 -1.80000 1.62000
5.20000 2.02400 -1.80000 1.62000
5.21000 2.00600 -1.80000 1.62000
5.22000 1.98800 -1.80000 1.62000
5.23000 1.97000 -1.80000 1.62000
5.24000 1.95200 -1.80000 1.62000
5.25000 1.93400 -1.80000 1.62000
5.26000 1.91600 -1.80000 1.62000
5.27000 1.89800 -1.80000 1.62000
5.28000 1.88000 -1.80000 1.62000
5.29000 1.86200 -1.80000 1.62000
5.30000 1.84400 -1.80000 1.62000
5.31000 1.82600 -1.80000 1.62000
5.32000 1.80800 -1.80000 1.62000
5.33000 1.79000 -1.80000 1.62000
5.34000 1.77200 -1.80000 1.62000
5.35000 1.75400 -1.80000 1.62000
5.36000 1.73600 -1.80000 1.62000
5.37000 1.71800 -1.80000 1.62000
5.38000 1.70000 -1.80000 1.62000
5.39000 1.68200 -1.80000 1.62000
5.40000 1.66400 -1.80000 1.62000
5.41000 1.64600 -1.80000 1.62000
5.42000 1.62800 -1.80000 1.62000
5.43000 1.61000 -1.80000 1.62000
5.44000 1.59200 -1.80000 1.62000
5.45000 1.57400 -1.80000 1.62000
5.46000 1.55600 -1.80000 1.62000
5.47000 1.53800 -1.80000 1.62000
5.48000 1.52000 -1.80000 1.62000
5.49000 1.50200 -1.80000 1.62000
5.50000 1.48400 -1.80000 1.62000
5.51000 1.46600 -1.80000 1.62000
5.52000 1.44800 -1.80000 1.62000
5.53000 1.43000 -1.80000 1.62000
5.54000 1.41200 -1.80000 1.62000
5.55000 1.39400 -1.80000 1.62000
5.56000 1.37600 -1.80000 1.62000
5.57000 1.35800 -1.80000 1.62000
5.58000 1.34000 -1.80000 1.62000
5.59000 1.32200 -1.80000 1.62000
5.60000 1.30400 -1.80000 1.62000
5.61000 1.28600 -1.80000 1.62000
5.62000 1.26800 -1.80000 1.62000
5.63000 1.25000 -1.80000 1.62000
5.64000 1.23200 -1.80000 1.62000
5.65000 1.21400 -1.80000 1.62000
5.66000 1.19600 -1.80000 1.62000
5.67000 1.17800 -1.80000 1.62000
5.68000 1.16000 -1.80000 1.62000
5.69000 1.14200 -1.80000 1.62000
5.70000 1.12400 -1.80000 1.62000
5.71000 1.10600 -1.80000 1.62000
5.72000 1.08800 -1.80000 1.62000
5.73000 1.07000 -1.80000 1.62000
5.74000 1.05200 -1.80000 1.62000
5.75000 1.03400 -1.80000 1.62000
5.76000 1.01600 -1.80000 1.62000
5.77000 0.99800 -1.80000 1.62000
5.78000 0.98000 -1.80000 1.62000
5.79000 0.96200 -1.80000 1.62000
5.80000 0.94400 -1.80000 1.62000
5.81000 0.92600 -1.80000 1.62000
5.82000 0.90800 -1.80000 1.62000
5.83000 0.89000 -1.80000 1.62000
5.84000 0.87200 -1.80000 1.62000
5.85000 0.85400 -1.80000 1.62000
5.86000 0.83600 -1.80000 1.62000
5.87000 0.81800 -1.80000 1.62000
5.88000 0.80000 -1.80000 1.62000
5.89000 0.78200 -1.80000 1.62000
5.90000 0.76400 -1.80000 1.62000
5.91000 0.74600 -1.80000 1.62000
5.92000 0.72800 -1.80000 1.62000
5.93000 0.71000 -1.80000 1.62000
5.94000 0.69200 -1.80000 1.62000
5.95000 0.67400 -1.80000 1.62000
5.96000 0.65600 -1.80000 1.62000
5.97000 0.63800 -1.80000 1.62000
5.98000 0.62000 -1.80000 1.62000
5.99000 0.60200 -1.80000 1.62000
6.00000 0.58400 -1.80000 1.62000
6.01000 0.56600 -1.80000 1.62000
6.02000 0.54800 -1.80000 1.62000
6.03000 0.53000 -1.80000 1.62000
6.04000 0.51200 -1.80000 1.62000
6.05000 0.49400 -1.80000 1.62000
6.06000 0.47600 -1.80000 1.62000
6.07000 0.45800 -1.80000 1.62000
6.08000 0.44000 -1.80000 1.62000
6.09000 0.42200 -1.80000 1.62000
6.10000 0.40400 -1.80000 1.62000
6.11000 0.38600 -1.80000 1.62000
6.12000 0.36800 -1.80000 1.62000
6.13000 0.35000 -1.80000 1.62000
6.14000 0.33200 -1.80000 1.62000
6.15000 0.31400 -1.80000 1.62000
6.16000 0.29600 -1.80000 1.62000
6.17000 0.27800 -1.80000 1.62000
6.18000 0.26000 -1.80000 1.62000
6.19000 0.24200 -1.80000 1.62000
6.20000 0.22400 -1.80000 1.62000
6.21000 0.20600 -1.80000 1.62000
6.22000 0.18800 -1.80000 1.62000
6.23000 0.17000 -1.80000 1.62000
6.24000 0.15200 -1.80000 1.62000
6.25000 0.13400 -1.80000 1.62000
6.26000 0.11600 -1.80000 1.62000
6.27000 0.09800 -1.80000 1.62000
6.28000 0.08000 -1.80000 1.62000
6.29000 0.06200 -1.80000 1.62000
6.30000 0.04400 -1.80000 1.62000
6.31000 0.02600 -1.80000 1.62000
6.32000 0.00800 -1.80000 1.62000
6.33000 0.01000 0.36000 0.06480
6.34000 0.01360 0.36000 0.06480
6.35000 0.01720 0.36000 0.06480
6.36000 0.02080 0.36000 0.06480
6.37000 0.02440 0.36000 0.06480
6.38000 0.02800 0.36000 0.06480
6.39000 0.03160 0.36000 0.06480
6.40000 0.03520 0.36000 0.06480
6.41000 0.03880 0.36000 0.06480
6.42000 0.04240 0.36000 0.06480
6.43000 0.04600 0.36000 0.06480
6.44000 0.04960 0.36000 0.06480
6.45000 0.05320 0.36000 0.06480
6.46000 0.05680 0.36000 0.06480
6.47000 0.06040 0.36000 0.06480
6.48000 0.06400 0.36000 0.06480
6.49000 0.06760 0.36000 0.06480
6.50000 0.07120 0.36000 0.06480
6.51000 0.07480 0.36000 0.06480
6.52000 0.07840 0.36000 0.06480
6.53000 0.08200 0.36000 0.06480
6.54000 0.08560 0.36000 0.06480
6.55000 0.08920 0.36000 0.06480
6.56000 0.09280 0.36000 0.06480
6.57000 0.09640 0.36000 0.06480
6.58000 0.10000 0.36000 0.06480
6.59000 0.10360 0.36000 0.06480
6.60000 0.10720 0.36000 0.06480
6.61000 0.11080 0.36000 0.06480
6.62000 0.11440 0.36000 0.06480
6.63000 0.11800 0.36000 0.06480
6.64000 0.12160 0.36000 0.06480
6.65000 0.12520 0.36000 0.06480
6.66000 0.12880 0.36000 0.06480
6.67000 0.13240 0.36000 0.06480
6.68000 0.13600 0.36000 0.06480
6.69000 0.13960 0.36000 0.06480
6.70000 0.14320 0.36000 0.06480
